,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
235,1996-97,John Long,1381,TOR,32,11.6,6-5,Guard,195.6,G,False,False,False
236,1996-97,John Starks,317,NYK,77,26.6,6-5,Guard,195.6,G,True,True,True
237,1996-97,John Stockton,304,UTA,82,35.3,6-1,Guard,185.4,G,True,True,True
238,1996-97,John Wallace,961,NYK,68,11.6,6-9,Forward,205.7,F,True,False,False
239,1996-97,Johnny Newman,271,MIL,82,25.1,6-7,Forward,200.7,F,True,True,True
240,1996-97,Jon Barry,468,ATL,58,16.6,6-5,Guard,195.6,G,True,False,False
241,1996-97,Jud Buechler,146,CHI,76,9.2,6-6,Guard-Forward,198.1,G,True,False,False
242,1996-97,Juwan Howard,436,WAS,82,40.5,6-9,Forward,205.7,F,True,True,True
243,1996-97,Karl Malone,252,UTA,82,36.6,6-9,Forward,205.7,F,True,True,True
244,1996-97,Keith Askins,173,MIA,78,22.7,6-8,Forward-Guard,203.2,G,True,True,True
245,1996-97,Keith Tower,700,MIL,5,14.5,6-11,Center,210.8,C,False,False,False
246,1996-97,Ken Norman,80,ATL,17,13.0,6-8,Forward,203.2,F,False,False,False
247,1996-97,Kendall Gill,383,NJN,82,39.0,6-5,Guard,195.6,G,True,True,True
248,1996-97,Kenny Anderson,72,POR,82,37.6,6-1,Guard,185.4,G,True,True,True
249,1996-97,Kenny Smith,181,DEN,48,15.9,6-3,Guard,190.5,G,True,False,False
250,1996-97,Kerry Kittles,954,NJN,82,36.8,6-5,Guard,195.6,G,True,True,True
251,1996-97,Kevin Duckworth,404,LAC,26,14.7,7-0,Center,213.4,C,False,False,False
252,1996-97,Kevin Edwards,236,NJN,32,14.9,6-3,Guard,190.5,G,False,False,False
253,1996-97,Kevin Gamble,333,SAC,62,15.4,6-5,Forward,195.6,F,True,False,False
254,1996-97,Kevin Garnett,708,MIN,77,38.8,6-11,Forward,210.8,F,True,True,True
255,1996-97,Kevin Johnson,134,PHX,70,37.9,6-1,Guard,185.4,G,True,True,True
256,1996-97,Kevin Salvadori,1089,SAC,23,6.7,7-0,Center,213.4,C,False,False,False
257,1996-97,Kevin Willis,788,HOU,75,26.2,7-0,Center-Forward,213.4,F,True,True,True
258,1996-97,Khalid Reeves,234,DAL,63,22.7,6-3,Guard,190.5,G,True,True,True
259,1996-97,Kobe Bryant,977,LAL,71,15.5,6-6,Forward-Guard,198.1,G,True,False,False
260,1996-97,Kurt Thomas,703,MIA,18,20.8,6-9,Forward,205.7,F,False,True,False
261,1996-97,LaPhonso Ellis,111,DEN,55,36.4,6-8,Forward,203.2,F,True,True,True
262,1996-97,LaSalle Thompson,78,IND,26,5.3,6-10,Center,208.3,C,False,False,False
263,1996-97,Lamond Murray,441,LAC,74,17.5,6-7,Forward,200.7,F,True,False,False
264,1996-97,Larry Johnson,913,NYK,76,34.4,6-7,Forward,200.7,F,True,True,True
265,1996-97,Larry Krystkowiak,1474,LAL,3,3.9,6-9,Forward,205.7,F,False,False,False
266,1996-97,Larry Stewart,1125,SEA,70,14.0,6-8,Forward,203.2,F,True,False,False
267,1996-97,Latrell Sprewell,84,GSW,80,41.9,6-5,Guard,195.6,G,True,True,True
268,1996-97,Lawrence Moten,734,VAN,67,18.2,6-5,Guard,195.6,G,True,False,False
269,1996-97,Lee Mayberry,195,VAN,80,24.5,6-1,Guard,185.4,G,True,True,True
270,1996-97,Lindsey Hunter,283,DET,82,36.9,6-2,Guard,188.0,G,True,True,True
271,1996-97,Lionel Simmons,1489,SAC,41,12.7,6-7,Forward,200.7,F,True,False,False
272,1996-97,Litterial Green,1036,DET,45,6.8,6-1,Guard,185.4,G,True,False,False
273,1996-97,Lloyd Daniels,1380,NJN,22,14.0,6-7,Guard,200.7,G,False,False,False
274,1996-97,Loren Meyer,684,PHX,54,13.0,6-10,Center-Forward,208.3,F,True,False,False
275,1996-97,Lorenzen Wright,953,LAC,77,25.2,6-11,Forward-Center,210.8,F,True,True,True
276,1996-97,Lorenzo Williams,31,WAS,19,14.0,6-9,Forward,205.7,F,False,False,False
277,1996-97,Lou Roe,691,GSW,17,6.3,6-7,Forward,200.7,F,False,False,False
278,1996-97,Loy Vaught,919,LAC,82,34.6,6-9,Forward-Center,205.7,F,True,True,True
279,1996-97,Luc Longley,26,CHI,59,25.0,,Center,,C,True,True,True
280,1996-97,Lucious Harris,446,PHI,54,15.0,6-5,Guard,195.6,G,True,False,False
281,1996-97,Mahmoud Abdul-Rauf,51,SAC,75,28.5,6-1,Guard,185.4,G,True,True,True
282,1996-97,Malik Rose,990,CHH,54,9.7,6-7,Forward,200.7,F,True,False,False
283,1996-97,Malik Sealy,907,LAC,80,30.8,6-8,Guard-Forward,203.2,G,True,True,True
284,1996-97,Marcus Brown,992,POR,21,8.7,,,,,False,False,False
