,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
480,1997-98,Bimbo Coles,902,GSW,53,27.7
481,1997-98,Bison Dele,183,DET,78,33.6
482,1997-98,Blue Edwards,898,VAN,81,24.3
483,1997-98,Bo Outlaw,448,ORL,82,36.0
484,1997-98,Bob McCann,737,TOR,1,5.1
485,1997-98,Bob Sura,682,CLE,46,20.5
486,1997-98,Bobby Hurley,310,VAN,61,14.3
487,1997-98,Bobby Jackson,1517,DEN,68,30.1
488,1997-98,Bobby Phills,184,CHH,62,30.5
489,1997-98,Brad Lohaus,38,SAS,9,11.3
490,1997-98,Brandon Williams,1585,GSW,9,15.5
491,1997-98,Brent Barry,699,MIA,58,27.6
492,1997-98,Brent Price,85,HOU,72,18.5
493,1997-98,Brevin Knight,1510,CLE,80,31.1
494,1997-98,Brian Evans,967,NJN,72,12.4
495,1997-98,Brian Grant,258,POR,61,31.5
496,1997-98,Brian Oliver,1680,ATL,5,12.2
497,1997-98,Brian Shaw,216,PHI,59,25.9
498,1997-98,Brooks Thompson,240,NYK,30,5.6
499,1997-98,Bruce Bowen,1477,BOS,61,21.4
500,1997-98,Bryant Reeves,735,VAN,74,34.1
501,1997-98,Bryant Stith,179,DEN,31,23.2
502,1997-98,Bryon Russell,935,UTA,82,27.1
503,1997-98,Bubba Wells,1528,DAL,39,10.0
